subject,predicate,object
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Accessiblility,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Android_Developer
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Activity,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_Components
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Activity_Lifecycle,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Activity
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Adaptative_Icons,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Drawables
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Adapter_View,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Data_Views
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Analytics,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Firebase
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Analytics,http://www.w3.org/2000/01/rdf-schema#label,analytic
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Android_Debug_Bridge,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Android_SDK
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Android_Jetpack,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Android_Developer
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Android_Lint,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Linters
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Android_Lint,http://www.w3.org/2000/01/rdf-schema#label,androidlint
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Android_SDK,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Android_Studio
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Android_Studio,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Android_Developer
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Animation,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Android_Developer
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Animation,http://www.w3.org/2000/01/rdf-schema#label,animations
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Animation_Drawables,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Drawables
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#AppAnnie,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Third_Parties
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#AppAnnie,http://www.w3.org/2000/01/rdf-schema#label,app annie
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_APK,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_Publishing
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_APK,http://www.w3.org/2000/01/rdf-schema#label,apk,application apk
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_Actions,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Play_Store
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_Actions,http://www.w3.org/2000/01/rdf-schema#label,app action,application action,application actions
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_Bar,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#UI_Components
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_Bar,http://www.w3.org/2000/01/rdf-schema#label,application bar,toolbar
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_Billing,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Play_Store
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_Billing,http://www.w3.org/2000/01/rdf-schema#label,app bill
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_Bundle,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_Publishing
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_Bundle,http://www.w3.org/2000/01/rdf-schema#label,application bundle
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_Components,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Android_Developer,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_Manifest
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_Indexing,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Firebase
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_Indexing,http://www.w3.org/2000/01/rdf-schema#label,app index,appindex,appindexing
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_Links,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Play_Store
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_Links,http://www.w3.org/2000/01/rdf-schema#label,app link,application link,application links
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#App_Manifest,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Android_Developer
