subject,predicate,object
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#ACID,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#databases
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#AVL_tree,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#data_structures
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Breadth_First_Search,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#search_algorithms
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Build,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Backend_Developer
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#C,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Programming_Language
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#CAP_theorem,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#databases
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#C_Sharp,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Programming_Language
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#C_Sharp,http://www.w3.org/2000/01/rdf-schema#comment,C Sharp,C#,Csharp,c-sharp
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Databases,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Backend_Developer
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Deploy,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Backend_Developer
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Depth_First_Search,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#search_algorithms
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Framework,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Backend_Developer
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Groovy,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Programming_Language
