subject,predicate,object
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Databases,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2021/0/datascience-ontology#DataScience
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Mongo,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Databases
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#ODM,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Databases
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#ORM,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Databases
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#PostgreSQL,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Databases
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#amazon_athena,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#aws
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#amazon_aurora,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#aws
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#amazon_dynamodb,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#aws
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#amazon_ebs,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#aws
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#amazon_elasticache,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#aws
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#amazon_emr,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#aws
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#amazon_rds,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#aws
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#amazon_redshift,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#aws
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#amazon_s3,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#aws
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#amazon_sqs,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#aws
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#arangodb,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Databases
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#aws,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Databases
