subject,predicate,object
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#AVL_tree,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#data_structures
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Breadth_First_Search,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#search_algorithms
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#C_Sharp,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2021/0/devops-ontology#programming_language
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#C_Sharp,http://www.w3.org/2000/01/rdf-schema#comment,C Sharp,C#,Csharp,c-sharp
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Deploy,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2021/0/devops-ontology#DevOps
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Depth_First_Search,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#search_algorithms
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Groovy,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2021/0/devops-ontology#programming_language
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Java,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2021/0/devops-ontology#programming_language
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Mongo,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2021/0/devops-ontology#Databases
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#ODM,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2021/0/devops-ontology#Databases
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#ORM,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2021/0/devops-ontology#Databases
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#PHP,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2021/0/devops-ontology#programming_language
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#PostgreSQL,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2021/0/devops-ontology#Databases
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#REST,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2021/0/devops-ontology#knowledge
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Scala,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2021/0/devops-ontology#programming_language
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Testing,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2021/0/devops-ontology#DevOps
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#algorithms,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2021/0/devops-ontology#knowledge
