subject,predicate,object
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#AVL_tree,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#data_structures
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Breadth_First_Search,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#search_algorithms
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Build,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/fullstack-ontology#Fullstack_Developer
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Deploy,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/fullstack-ontology#Fullstack_Developer
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Depth_First_Search,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#search_algorithms
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Groovy,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/fullstack-ontology#Programming_Language
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#J2EE,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/fullstack-ontology#Framework
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#JavaSE,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/fullstack-ontology#Framework
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Java_Core,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/fullstack-ontology#Framework
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Mongo,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/fullstack-ontology#Databases
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Node.js,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/fullstack-ontology#Framework
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#Node.js,http://www.w3.org/2000/01/rdf-schema#comment,Node js,Node.js,Nodejs
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#ODM,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/fullstack-ontology#Databases
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#ORM,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/fullstack-ontology#Databases
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#PostgreSQL,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/fullstack-ontology#Databases
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#REST,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/ad/ontologies/2020/11/fullstack-ontology#Knowledge
