subject,predicate,object
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#cassandra,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/admin/ontologies/2021/2/untitled-ontology-6#database
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#hive,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/admin/ontologies/2021/2/untitled-ontology-6#database
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#mariadb,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/admin/ontologies/2021/2/untitled-ontology-6#database
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#mysql,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/admin/ontologies/2021/2/untitled-ontology-6#database
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#oracle,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/admin/ontologies/2021/2/untitled-ontology-6#database
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#redis,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/admin/ontologies/2021/2/untitled-ontology-6#database
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#splunk,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/admin/ontologies/2021/2/untitled-ontology-6#database
http://www.semanticweb.org/ad/ontologies/2020/11/backend-ontology#sqlite,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/admin/ontologies/2021/2/untitled-ontology-6#database
http://www.semanticweb.org/ad/ontologies/2021/0/AIEngineer-ontology#Java,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/admin/ontologies/2021/2/untitled-ontology-6#programming_languge
http://www.semanticweb.org/admin/ontologies/2021/2/untitled-ontology-6#A-Frame,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/admin/ontologies/2021/2/untitled-ontology-6#Javascript_Framework
http://www.semanticweb.org/admin/ontologies/2021/2/untitled-ontology-6#AI,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/admin/ontologies/2021/2/untitled-ontology-6#technical_skills
http://www.semanticweb.org/admin/ontologies/2021/2/untitled-ontology-6#AR,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/admin/ontologies/2021/2/untitled-ontology-6#platform
http://www.semanticweb.org/admin/ontologies/2021/2/untitled-ontology-6#AWS_Beanstalk,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/admin/ontologies/2021/2/untitled-ontology-6#aws
http://www.semanticweb.org/admin/ontologies/2021/2/untitled-ontology-6#AWS_CloudFormation,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/admin/ontologies/2021/2/untitled-ontology-6#aws
