subject,predicate,object
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#AppAnnie,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Third_Parties
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#AppAnnie,http://www.w3.org/2000/01/rdf-schema#label,App Annie
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#AppfollowIO,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Third_Parties
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#AppfollowIO,http://www.w3.org/2000/01/rdf-schema#label,appfollow io,appfollow-io
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Branch_Metrics,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Third_Parties
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#CodePush,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Third_Parties
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Cordova,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Hybrid
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#CoreRender,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Third_Parties
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Expo_Sketch,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Third_Parties
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Facebook_Sonar,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Third_Parties
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Facebook_Sonar,http://www.w3.org/2000/01/rdf-schema#label,facebook-sonar,facebooksonar
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Flutter,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Hybrid
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Hybrid,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/ios-developer#iOS_Developer
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Ionic,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Hybrid
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#MVC,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/ios-developer#Software_Architecture
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#MVC,http://www.w3.org/2000/01/rdf-schema#label,m v c,m-v-c,model view controller,model-view-controller,modelviewcontroller
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#MVI,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/ios-developer#Software_Architecture
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#MVI,http://www.w3.org/2000/01/rdf-schema#label,m v i,m-v-i,model view intent,model-view-intent,modelviewintent
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#MVP,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/ios-developer#Software_Architecture
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#MVP,http://www.w3.org/2000/01/rdf-schema#label,Model View Presenter,Model-View-Presenter,ModelViewPresenter,m v p,m-v-p
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#MVVM,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/ios-developer#Software_Architecture
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#MVVM,http://www.w3.org/2000/01/rdf-schema#label,View Model ViewModel,View-Model-ViewModel,ViewModelViewModel,m v vm,m-v-vm
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Ratchet,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Hybrid
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#React_Native,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Hybrid
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#React_Native,http://www.w3.org/2000/01/rdf-schema#label,react-native,reactnative
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Sensor_Tower,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Third_Parties
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Third_Parties,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/ios-developer#iOS_Developer
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#UXcam,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Third_Parties
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Viper,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/ios-developer#Software_Architecture
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Weex,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Hybrid
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Xamarin,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Hybrid
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Xamarin_Test_Cloud,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Xamarin
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Xamarin_Test_Cloud,http://www.w3.org/2000/01/rdf-schema#label,xamarin-test-cloud,xamarintestcloud
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#amp,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Third_Parties
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#appthwack,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Third_Parties
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#nachos-ui,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#React_Native
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#native-navigation,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#React_Native
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#pcloudy,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Third_Parties
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#react-native-material-design,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#React_Native
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#react-native-paper,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#React_Native
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#react-native-ui-kitten,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#React_Native
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#react-navigation,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#React_Native
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#react-virgin,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#React_Native
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#reactnativeautoupdater,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#React_Native
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#reagent,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#React_Native
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#replit,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Third_Parties
http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#testmunk,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/android-development#Third_Parties
http://www.semanticweb.org/vinhpham/ontologies/2021/0/ios-developer#ARC,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/ios-developer#Memory_Management
http://www.semanticweb.org/vinhpham/ontologies/2021/0/ios-developer#Activity,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/ios-developer#Instruments
http://www.semanticweb.org/vinhpham/ontologies/2021/0/ios-developer#Allocations,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/vinhpham/ontologies/2021/0/ios-developer#Instruments
