subject,predicate,object
http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#AWS_Beanstalk,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#aws
http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#AWS_CloudFormation,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#aws
http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#AWS_IAM,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#aws
http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#AWS_Lambda,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#aws
http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#Active_listening,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#soft_skills
http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#Actix,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#Framework
http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#AdaDelta,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#Optimizers
http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#AdaGrad,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#Optimizers
http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#Adam,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#Optimizers
http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#Adaptability,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#soft_skills
http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#Agglomerative,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/sonhungel/ontologies/2021/2/untitled-ontology-11#Clustering
