subject,predicate,object
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#accept_constructive_criticism,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#working_with_others
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#accept_feedback,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#working_with_others
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#adapt_fitness_exercises,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#practising_sports
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#adapt_to_changes_in_technological_development_plans,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#solving_problems
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#address_problems_critically,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#solving_problems
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#analyse_own_performance,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#supervising_people
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#apply_export_strategies,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#solving_problems
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#apply_import_strategies,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#solving_problems
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#apply_strategic_thinking,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#strategic_planning
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#archive_documentation_related_to_the_work,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#managing_information
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#ask_questions_at_events,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#obtaining_information
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#attend_meetings,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#liaising_and_networking
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#be_attentive,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#obtaining_information
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#brainstorm_ideas,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#liaising_and_networking
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#chair_a_meeting,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#presenting_information
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#coach_employees,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#coaching_and_mentoring
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#coaching_and_mentoring,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#Soft_skill
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#collaborate_with_designers,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#working_with_others
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#collaborate_with_engineers,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#working_with_others
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#collect_customer_data,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#processing_information
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#communicate_analytical_insight,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#liaising_and_networking
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#communicate_mathematical_information,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#presenting_information
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#communicate_price_changes,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#liaising_and_networking
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#communicate_problems_to_senior_colleagues,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#obtaining_information
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#communicate_production_plan,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#liaising_and_networking
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#communicate_technicalities_with_clients,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#liaising_and_networking
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#communicate_verbal_instructions,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#working_with_others
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#communication,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#Soft_skill
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#condense_information,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#presenting_information
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#conduct_research_interview,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#obtaining_information
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#conducting_studies,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#Soft_skill
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#consult_with_design_team,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#liaising_and_networking
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#consult_with_technical_staff,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#obtaining_information
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#contact_customers,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#liaising_and_networking
http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#contact_talent_agents,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/lqtpl/ontologies/2021/3/softskill-ontology#liaising_and_networking
